rel_path,size_bytes,row_count,column_order,raw_sha256,normalized_sha256,comparison_class
fundamentals/attempt_1/industry_fundamental_scores.csv,30826,187,"[""snapshot_date"", ""industry"", ""industry_key"", ""no_of_companies"", ""total_market_cap"", ""median_market_cap"", ""median_pe"", ""sales_growth_wavg"", ""opm_wavg"", ""roce_wavg"", ""median_1y_return"", ""industry_growth_score"", ""industry_quality_score"", ""industry_valuation_score"", ""industry_momentum_score"", ""industry_fundamental_score"", ""industry_fundamental_label"", ""industry_warning"", ""screener_industry_snapshot_date""]",f33d592a260e5876edaf703619f087900a9fa6bf1559fd1ab80edf61d6b9406e,3ec4b80d633a76a41e8638fac41532c7091ac2b75440b46761080543853ff236,CONTENT
fundamentals/attempt_1/industry_fundamental_trends.csv,535,2,"[""industry_key"", ""industry"", ""snapshot_date"", ""prev_snapshot_date"", ""industry_fundamental_score_delta"", ""industry_growth_score_delta"", ""industry_quality_score_delta"", ""industry_valuation_score_delta"", ""industry_momentum_score_delta"", ""median_pe_delta"", ""sales_growth_wavg_delta"", ""opm_wavg_delta"", ""roce_wavg_delta"", ""median_1y_return_delta"", ""industry_trend_label"", ""industry_trend_reason""]",643d112bac5645381da59717eb36f128528720e6ccdfc844781ddd208166f583,4e8f3a542893aab144eb7d459d1750d12df3d48c27218144f28cd6a59e05478a,CONTENT
fundamentals/attempt_1/quarterly_result_scores.csv,460600,1574,"[""symbol"", ""report_date"", ""available_at"", ""statement_basis"", ""sales_yoy_pct"", ""sales_qoq_pct"", ""operating_profit_yoy_pct"", ""operating_profit_qoq_pct"", ""profit_yoy_pct"", ""profit_qoq_pct"", ""opm_pct"", ""opm_yoy_change_bps"", ""opm_qoq_change_bps"", ""positive_profit_quarters_4q"", ""sales_growth_positive_quarters_4q"", ""profit_growth_positive_quarters_4q"", ""margin_expansion_quarters_4q"", ""quarterly_result_score"", ""quarterly_result_bucket"", ""quarterly_result_reason"", ""low_base_flag"", ""margin_expansion_flag"", ""quality_penalty""]",787a9b7e4ae6e81a9b62baeaa3c9ee312c0c768f7e7d0694c990a39ede24e98e,2eaf6720a77701fa7a06cae98329d9dbc869cb4d7dd3e0554b9eaff14fb19ce1,CONTENT
fundamentals/attempt_1/sector_earnings_latest.csv,9497,23,"[""sector_name"", ""report_date"", ""sector_sales_yoy_growth"", ""sector_profit_yoy_growth"", ""sector_sales_qoq_growth"", ""sector_profit_qoq_growth"", ""median_company_sales_yoy"", ""median_company_profit_yoy"", ""sales_positive_pct"", ""profit_positive_pct"", ""margin_expansion_pct"", ""great_result_count"", ""turnaround_count"", ""compounder_count"", ""aggregate_sales_growth_rank"", ""aggregate_profit_growth_rank"", ""sales_breadth_rank"", ""profit_breadth_rank"", ""margin_expansion_rank"", ""great_result_count_rank"", ""turnaround_count_rank"", ""sector_fundamental_score"", ""earnings_trend_label"", ""created_at""]",27431832077868d2926978b6b3863be0a7b494e303093f7739754877f94bf090,62dd024b5d9b4423b24e0249952d709dccff326ba4e4d1a8c2d439b81836012c,CONTENT
fundamentals/attempt_1/sector_earnings_leadership.csv,9407,23,"[""sector_name"", ""report_date"", ""sector_sales_yoy_growth"", ""sector_profit_yoy_growth"", ""sector_sales_qoq_growth"", ""sector_profit_qoq_growth"", ""median_company_sales_yoy"", ""median_company_profit_yoy"", ""sales_positive_pct"", ""profit_positive_pct"", ""margin_expansion_pct"", ""great_result_count"", ""turnaround_count"", ""compounder_count"", ""aggregate_sales_growth_rank"", ""aggregate_profit_growth_rank"", ""sales_breadth_rank"", ""profit_breadth_rank"", ""margin_expansion_rank"", ""great_result_count_rank"", ""turnaround_count_rank"", ""sector_fundamental_score"", ""earnings_trend_label"", ""created_at""]",22fff62732cd40be92c25f3105e43bef7367ea3a5a73fa94152b645434304177,613d7cb28d3b45b3596f2c020f1f693f618172694e7f15a4c5b1e34305781f72,CONTENT
fundamentals/attempt_1/sector_valuation_daily.csv,17982216,109549,"[""universe_id"", ""date"", ""sector_name"", ""constituent_count"", ""positive_earnings_count"", ""loss_making_count"", ""total_market_cap_cr"", ""total_ttm_profit_cr"", ""pe_ttm"", ""pe_median"", ""pe_trimmed_avg"", ""earnings_yield"", ""loss_mcap_pct""]",9bd8720830a94494ccf1f86500a119a4d5d1f6b7feed8ab0fc28b33f9d394c41,353031e7c60115cd3aea2801ed1d48f4517b25a8eed9c39eec78a4cd964a4de1,CONTENT
fundamentals/attempt_1/sector_valuation_latest.csv,7846,46,"[""universe_id"", ""date"", ""sector_name"", ""constituent_count"", ""positive_earnings_count"", ""loss_making_count"", ""total_market_cap_cr"", ""total_ttm_profit_cr"", ""pe_ttm"", ""pe_median"", ""pe_trimmed_avg"", ""earnings_yield"", ""loss_mcap_pct""]",d56976c8ba56679f7833bc51f929f215cb64ef6da8a01b298d317e56c4909793,b11faf7baab7c2537c0a3c2435b19b67ec5056172c52e8b21a5bf8f5c7e72f33,CONTENT
fundamentals/attempt_1/stock_valuation_bands_latest.csv,762643,1442,"[""universe_id"", ""date"", ""symbol"", ""sector_name"", ""pe_ttm"", ""ps_ttm"", ""pb"", ""pe_median_3y"", ""pe_median_5y"", ""ps_median_3y"", ""ps_median_5y"", ""pb_median_3y"", ""pb_median_5y"", ""pe_pctile_3y"", ""pe_pctile_5y"", ""ps_pctile_3y"", ""ps_pctile_5y"", ""pb_pctile_3y"", ""pb_pctile_5y"", ""pe_vs_3y_median_pct"", ""pe_vs_5y_median_pct"", ""ps_vs_3y_median_pct"", ""ps_vs_5y_median_pct"", ""pb_vs_3y_median_pct"", ""pb_vs_5y_median_pct"", ""valuation_history_score"", ""valuation_history_bucket"", ""valuation_reason"", ""observations_3y"", ""observations_5y"", ""created_at""]",d157fb11d7a1c99f3787b6f87af9a8fd9c6ca14c87beb5cd442453069d88204d,f0d74119d616e0500f788974fea5cdb61ac4d01169aa2f1592de325d0b8ad6aa,CONTENT
fundamentals/attempt_1/turnaround_candidates.csv,3566299,13510,"[""symbol"", ""report_date"", ""insight_type"", ""insight_score"", ""evidence_json"", ""created_at""]",cbf61029bca88bca2350509ad1691dd1e8d8e19a56616b1f28677adaf9853d79,3a5a77ebf2a11d96ce5ad534804b36d4e2bb46940e48010a5b986734fa018693,CONTENT
fundamentals/attempt_1/turnaround_candidates_latest.csv,13067,100,"[""symbol"", ""report_date"", ""insight_type"", ""insight_score"", ""evidence"", ""sales_yoy_growth"", ""profit_yoy_growth"", ""profit_qoq_growth"", ""opm_yoy_change"", ""net_profit_cr""]",ffcbc75f20a3faace181ab2eabead121741beab65e32c81a6d24bee0ca067fa8,5ccd8dcd797f62dc91ab4898bc3726d7e2e44670b1dbb443a0a94cd5f48ac636,CONTENT
fundamentals/attempt_1/universe_valuation_daily.csv,1817922,4940,"[""universe_id"", ""date"", ""index_level_equal_weight"", ""index_level_mcap_weight"", ""total_market_cap_cr"", ""total_ttm_profit_cr"", ""positive_profit_market_cap_cr"", ""loss_making_market_cap_cr"", ""pe_ttm"", ""earnings_yield"", ""loss_mcap_pct"", ""pe_200dma"", ""pe_1y_median"", ""pe_3y_median"", ""pe_5y_median"", ""pe_zscore_3y"", ""pe_zscore_5y"", ""pe_percentile_3y"", ""pe_percentile_5y"", ""valuation_zone"", ""created_at""]",75e11ba8756d4541df40e18da3731efd116bd8f3ba761a5bb61de0ce319fc4b3,1b39489a0f50e08be60240334092ac274101825ef7b996d89275c91d69f3aafb,CONTENT
fundamentals/attempt_1/universe_valuation_latest.csv,186309,500,"[""universe_id"", ""date"", ""index_level_equal_weight"", ""index_level_mcap_weight"", ""total_market_cap_cr"", ""total_ttm_profit_cr"", ""positive_profit_market_cap_cr"", ""loss_making_market_cap_cr"", ""pe_ttm"", ""earnings_yield"", ""loss_mcap_pct"", ""pe_200dma"", ""pe_1y_median"", ""pe_3y_median"", ""pe_5y_median"", ""pe_zscore_3y"", ""pe_zscore_5y"", ""pe_percentile_3y"", ""pe_percentile_5y"", ""valuation_zone"", ""created_at""]",c5e22b1081aa0aa9ecf59075027cb374b9b1a145cd8667c806ca53b7b7740138,09de6925a236562854edfadc3f0e9660955de5778555727593aca0506e2ebb39,CONTENT
fundamentals/attempt_1/valuation_cycle_features.csv,976100,4940,"[""entity_type"", ""entity_id"", ""date"", ""pe_ttm"", ""pe_200dma"", ""pe_distance_from_200dma"", ""pe_5y_median"", ""pe_percentile_5y"", ""pe_zscore_5y"", ""valuation_zone"", ""cycle_signal"", ""created_at""]",09b2a6e1d595d717cf83d8d778c488e9e093ec87270886d980d656989d433671,b00762a485e3222ac0b69c1e02d3579f3f7738d1c802f8fa7e935e4daf023aa6,CONTENT
fundamentals/attempt_1/valuation_cycle_latest.csv,101108,500,"[""entity_type"", ""entity_id"", ""date"", ""pe_ttm"", ""pe_200dma"", ""pe_distance_from_200dma"", ""pe_5y_median"", ""pe_percentile_5y"", ""pe_zscore_5y"", ""valuation_zone"", ""cycle_signal"", ""created_at""]",4770acf41adfee9a0ffdfbb83c8c1361663255957701a8137df312d317f28092,a5920ae8de8c76b566ddf7b088bba0737cd273425374fd6a9998832d31ab6511,CONTENT
fundamentals/attempt_1/watchlist_candidates.csv,25710,20,"[""symbol"", ""name"", ""industry_group"", ""industry"", ""composite_score"", ""relative_strength"", ""volume_intensity"", ""trend_persistence"", ""proximity_to_highs"", ""delivery_pct"", ""sector_strength"", ""breakout_type"", ""breakout_score"", ""candidate_tier"", ""qualified"", ""pattern_family"", ""pattern_state"", ""pattern_score"", ""setup_quality"", ""quality_score"", ""growth_score"", ""balance_sheet_score"", ""valuation_score"", ""ownership_score"", ""fundamental_score"", ""fundamental_tier"", ""red_flags"", ""hard_red_flag"", ""fundamental_score_delta"", ""fundamental_trend_label"", ""trend_reason"", ""industry_fundamental_score"", ""industry_growth_score"", ""industry_quality_score"", ""industry_valuation_score"", ""industry_momentum_score"", ""industry_fundamental_label"", ""industry_warning"", ""industry_score_delta"", ""industry_trend_label"", ""catalyst_score"", ""catalyst_type"", ""catalyst_summary"", ""evidence_source"", ""confidence"", ""report_date"", ""available_at"", ""statement_basis"", ""sales_yoy_pct"", ""sales_qoq_pct"", ""operating_profit_yoy_pct"", ""operating_profit_qoq_pct"", ""profit_yoy_pct"", ""profit_qoq_pct"", ""opm_pct"", ""opm_yoy_change_bps"", ""opm_qoq_change_bps"", ""quarterly_result_score"", ""quarterly_result_bucket"", ""quarterly_result_reason"", ""low_base_flag"", ""margin_expansion_flag"", ""quality_penalty"", ""pe_ttm"", ""ps_ttm"", ""pb"", ""pe_median_3y"", ""pe_median_5y"", ""ps_median_3y"", ""ps_median_5y"", ""pb_median_3y"", ""pb_median_5y"", ""pe_pctile_3y"", ""pe_pctile_5y"", ""ps_pctile_3y"", ""ps_pctile_5y"", ""pb_pctile_3y"", ""pb_pctile_5y"", ""pe_vs_3y_median_pct"", ""pe_vs_5y_median_pct"", ""ps_vs_3y_median_pct"", ""ps_vs_5y_median_pct"", ""pb_vs_3y_median_pct"", ""pb_vs_5y_median_pct"", ""valuation_history_score"", ""valuation_history_bucket"", ""valuation_reason"", ""final_watchlist_score"", ""watchlist_bucket"", ""watchlist_reason"", ""next_action""]",c486296ffb16916011f7a2ed04de12db67c88c0514e233619b22b0884cc2ee9a,c70ad3f955f9f5e196fe8b89d3bc2d26b806dec51712d24da91f3723b2acd495,CONTENT
insight/attempt_1/event_confluence.csv,85,0,"[""symbol"", ""category"", ""alert_level"", ""rank_position"", ""event_materiality_score"", ""event_hash"", ""summary""]",4900ed5ad9f0cebb6e03049a4a2fa6fedc425b855b40f7a42333b1a06c68753c,4900ed5ad9f0cebb6e03049a4a2fa6fedc425b855b40f7a42333b1a06c68753c,CONTENT
insight/attempt_1/event_features.csv,1386,20,"[""symbol"", ""rank"", ""event_hash"", ""event_confluence_score"", ""event_risk_score"", ""event_recency_score"", ""event_materiality_score"", ""technical_confirmation_score"", ""event_vs_price_alignment"", ""action_bucket""]",7dc77529cef1c1d2f9e30d69f8bca3f5e68ade41a8d769939a6eaa1a6d9feb3a,cc5da187119f19c648a1b5ca380d671f3cc1fc703fa1f65f92c1e3128c8c66ad,CONTENT
